               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,             0.03496,            0.010584,                   0,             0.88046,             0.74906,             0.82414,             0.36322,            0.044829,           0.0060453,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.033305,           0.0097898,                   0,             0.82898,             0.71186,             0.77875,             0.32453,            0.048779,           0.0058351,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.034442,           0.0098522,                   0,             0.85218,             0.68405,             0.74741,             0.31814,            0.050899,           0.0061439,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.033276,            0.010209,                   0,              0.8931,             0.70806,             0.78269,             0.32247,            0.051124,           0.0061148,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.032614,           0.0094138,                   0,             0.76455,             0.71552,             0.78437,             0.35949,            0.045576,           0.0064619,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.03366,           0.0095225,                   0,             0.80304,             0.71186,             0.79089,             0.34649,            0.047103,           0.0061124,                   0,            0.003466,            0.003466,            0.003466
                  68,              0.0329,            0.009869,                   0,             0.81887,             0.72881,             0.79304,             0.34022,            0.046167,           0.0062826,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.031877,           0.0092806,                   0,             0.86877,             0.67332,             0.77709,             0.35658,             0.04589,           0.0061085,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.033567,           0.0099011,                   0,             0.80099,             0.76271,             0.76505,             0.33618,            0.047461,           0.0063021,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.03252,           0.0092837,                   0,             0.83776,             0.71186,             0.78254,             0.35507,            0.046131,           0.0059999,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.032711,           0.0091805,                   0,             0.87716,             0.72625,             0.81442,             0.36249,            0.045485,           0.0060376,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.031729,           0.0094939,                   0,             0.75926,             0.79661,             0.79929,             0.38139,            0.043084,           0.0063347,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.031667,           0.0094411,                   0,             0.88874,             0.67696,             0.80754,             0.37105,            0.045408,           0.0060101,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.03183,           0.0096456,                   0,             0.88381,             0.64462,             0.73538,             0.31843,             0.05051,           0.0059171,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.031498,           0.0093196,                   0,             0.82196,             0.76271,             0.79572,             0.38312,            0.045568,           0.0060109,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.031044,           0.0095694,                   0,             0.85881,             0.72173,             0.78382,             0.33408,            0.049585,           0.0057047,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.031025,           0.0093836,                   0,             0.82939,             0.74576,             0.81286,             0.35222,            0.046711,           0.0058102,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.031174,           0.0096996,                   0,             0.88865,             0.67638,             0.79467,             0.35671,             0.04669,           0.0056431,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.031107,            0.009389,                   0,             0.88729,             0.76271,             0.83772,             0.37109,            0.044663,           0.0058922,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.029742,           0.0091601,                   0,             0.87359,             0.70288,             0.78797,             0.34778,            0.047136,           0.0058093,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.030904,           0.0090761,                   0,             0.93121,             0.68846,             0.77297,             0.36605,            0.046352,           0.0056924,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.029808,           0.0093533,                   0,             0.88105,             0.66102,              0.7387,             0.33367,            0.048047,           0.0060963,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.029294,           0.0089747,                   0,               0.884,             0.77501,             0.82139,             0.36398,             0.04487,           0.0057808,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.030598,           0.0087347,                   0,             0.87911,             0.73959,             0.83425,             0.36803,            0.044181,           0.0057098,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.028872,           0.0087512,                   0,             0.90187,             0.67797,             0.77168,             0.32984,             0.04805,           0.0058248,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.028917,           0.0087634,                   0,             0.92545,             0.69492,             0.79249,             0.36427,            0.046722,           0.0059016,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.029078,           0.0091396,                   0,             0.93721,             0.75899,             0.82375,             0.37353,            0.045781,           0.0058284,                   0,            0.001387,            0.001387,            0.001387
